fryer_temperature,frying_time,moisture_content,slice_thickness,oil_quality_index,defect_percentage
161.1,3.98,1.09,2.65,0.609,32.02
156.0,2.32,4.92,2.87,0.831,10.31
166.9,2.88,4.69,2.09,0.817,21.07
197.1,4.73,6.04,1.4,0.797,60.85
166.2,2.3,7.23,2.23,0.508,17.19
175.9,5.4,1.56,2.49,0.864,39.14
185.2,3.98,6.12,2.48,0.662,42.16
168.2,3.92,2.31,2.04,0.833,30.82
198.6,4.37,7.01,1.14,0.778,60.17
198.1,5.3,6.73,1.74,0.671,73.24
162.6,3.39,4.79,2.84,0.567,20.43
174.9,4.71,5.97,2.17,0.547,44.24
165.0,4.26,3.2,2.08,0.916,23.98
164.2,3.07,4.3,1.54,0.959,20.38
151.8,5.51,6.75,1.74,0.825,23.83
180.5,5.19,4.21,2.79,0.552,52.05
175.1,4.63,3.5,2.33,0.701,37.54
152.6,5.4,4.46,2.57,0.864,19.97
163.9,5.47,6.8,1.91,0.89,29.33
195.4,4.83,3.35,2.26,0.559,68.22
162.0,5.35,2.22,1.5,0.5,43.54
157.2,4.79,5.98,2.41,0.856,24.18
174.5,4.72,6.78,1.86,0.678,32.61
199.3,4.47,1.7,1.89,0.627,75.94
162.1,5.01,2.68,2.3,0.506,36.94
183.6,2.63,1.99,2.87,0.77,36.38
188.1,5.52,3.44,1.13,0.926,53.42
161.9,5.49,4.15,2.65,0.979,18.88
186.4,2.12,6.24,1.58,0.783,31.98
168.4,5.3,5.56,1.89,0.757,36.92
181.6,2.52,5.35,1.04,0.543,43.4
181.7,3.34,3.47,1.6,0.774,38.69
176.8,4.97,6.89,2.01,0.69,38.73
154.5,2.64,4.3,1.11,0.804,17.83
191.8,5.27,7.85,1.98,0.694,59.59
166.0,5.33,5.44,2.85,0.62,32.75
159.3,4.03,1.88,1.21,0.547,36.96
152.0,2.03,5.73,2.53,0.657,18.29
179.5,3.15,3.28,1.82,0.548,40.04
183.9,4.47,5.8,2.31,0.588,51.59
150.8,5.92,1.49,1.52,0.994,23.41
175.6,4.53,2.22,1.32,0.722,47.27
161.3,3.04,6.99,1.32,0.766,17.79
182.3,4.54,2.59,1.14,0.937,41.75
158.7,4.16,6.86,1.37,0.998,9.88
184.5,5.12,2.95,2.33,0.791,47.27
169.3,2.43,5.5,2.76,0.906,11.65
196.8,5.04,5.86,2.63,0.663,62.34
156.9,4.17,4.59,2.37,0.653,25.7
167.1,5.85,3.14,1.22,0.701,43.97
155.7,3.37,2.49,1.58,0.836,22.8
196.2,4.53,1.23,1.62,0.841,65.43
193.9,5.73,3.13,1.5,0.658,66.55
162.9,2.41,5.57,2.03,0.567,20.58
183.0,5.75,7.57,2.07,0.816,48.42
190.9,4.75,7.1,1.71,0.564,55.22
177.8,2.27,6.36,1.71,0.789,30.4
176.5,3.2,6.52,2.66,0.847,23.37
162.1,4.83,5.65,2.58,0.85,22.72
154.7,2.27,2.82,1.62,0.877,19.16
194.9,4.33,7.35,2.83,0.936,50.63
195.0,3.38,5.7,2.91,0.75,49.87
181.7,4.48,4.92,1.65,0.865,37.96
167.0,2.18,1.78,1.71,0.81,23.02
167.5,5.49,4.13,2.01,0.593,40.69
186.3,5.89,4.22,2.88,0.513,62.2
194.9,5.88,7.05,2.75,0.642,63.79
194.4,5.0,4.83,1.21,0.722,65.28
189.0,2.52,3.66,1.79,0.809,46.68
182.1,5.03,7.84,2.11,0.925,36.16
154.2,2.1,1.78,2.01,0.598,25.03
158.1,2.09,3.96,1.39,0.563,19.76
194.9,3.29,1.29,2.72,0.982,41.55
180.3,3.95,6.18,2.35,0.554,42.28
150.5,5.08,7.43,2.68,0.739,20.76
155.1,4.73,2.96,2.72,0.793,23.59
183.2,3.78,7.01,2.5,0.771,36.06
150.3,3.09,3.05,1.88,0.543,27.52
158.0,5.99,7.38,2.22,0.529,37.16
177.4,3.7,6.28,1.32,0.553,39.94
184.6,3.81,6.63,2.35,0.793,35.04
182.6,2.65,1.13,1.36,0.772,43.72
161.2,5.18,7.74,2.39,0.617,27.57
185.6,4.77,6.09,1.46,0.819,46.76
161.9,2.88,3.13,1.24,0.91,18.46
166.3,2.33,6.81,1.33,0.521,23.91
187.3,4.72,2.97,1.0,0.749,54.99
182.5,4.62,7.11,2.44,0.845,36.2
192.5,3.09,1.79,2.46,0.626,56.97
182.9,5.8,5.93,2.03,0.654,49.65
178.4,2.6,4.78,1.32,0.807,24.69
154.7,3.73,1.68,1.17,0.949,20.89
168.4,5.77,2.69,1.04,0.905,39.02
163.3,3.68,1.09,1.33,0.792,29.07
162.2,4.55,4.28,2.78,0.865,21.9
198.7,3.59,3.11,1.48,0.682,69.03
169.7,3.1,5.19,1.71,0.82,21.33
194.6,5.94,3.08,1.21,0.733,65.86
181.6,3.64,3.1,1.44,0.595,45.92
189.7,5.58,6.2,2.04,0.851,50.23
175.1,2.92,1.34,2.22,0.778,29.37
178.8,2.85,7.32,1.49,0.679,30.96
174.6,2.12,6.97,1.12,0.956,19.24
159.8,4.61,5.67,1.78,0.51,32.96
186.1,3.47,5.15,1.47,0.658,46.82
164.0,5.46,7.25,1.44,0.528,41.9
151.2,3.89,2.3,2.92,0.883,18.0
182.3,5.87,1.55,2.23,0.851,50.75
158.9,2.74,2.68,2.11,0.666,22.52
197.0,5.47,6.56,1.83,0.838,59.79
197.7,5.11,1.24,1.86,0.698,71.57
195.7,5.08,5.08,2.08,0.878,57.26
168.5,5.38,7.97,2.39,0.727,30.55
150.8,5.04,6.99,2.4,0.706,30.28
196.4,4.5,4.65,1.34,0.967,54.53
171.4,2.52,1.45,2.0,0.625,31.43
198.3,2.13,6.82,1.82,0.56,55.65
198.2,5.68,5.19,2.74,0.792,67.47
192.7,4.47,1.8,2.26,0.985,52.93
164.7,5.19,1.66,2.07,0.689,41.17
169.3,3.93,7.37,1.23,0.531,26.2
192.6,2.47,5.68,2.21,0.67,39.27
165.8,2.5,6.81,1.23,0.753,18.14
158.5,4.74,7.15,1.67,0.581,32.4
177.8,3.72,5.0,1.29,0.829,29.05
196.8,2.8,4.62,2.38,0.999,36.38
184.8,3.97,4.01,1.41,0.726,48.06
178.5,2.26,3.22,1.78,0.677,34.43
154.9,4.33,4.04,2.79,0.7,21.28
180.8,3.08,6.42,1.41,0.558,36.55
199.5,5.19,5.21,2.02,0.942,60.4
157.0,3.24,7.25,1.84,0.707,18.75
175.9,3.82,4.1,1.04,0.694,36.54
193.9,2.05,5.25,2.59,0.83,42.57
187.0,2.29,5.42,1.14,0.721,31.45
184.9,3.57,5.14,1.95,0.824,36.11
185.1,3.92,5.92,2.12,0.531,44.49
168.0,4.4,2.66,2.26,0.907,26.76
164.7,3.17,4.59,2.38,0.97,13.96
190.5,4.78,1.73,1.51,0.824,59.79
190.5,5.44,3.69,1.02,0.977,48.85
193.4,5.12,4.41,2.45,0.576,64.52
195.7,2.16,5.57,2.07,0.739,49.45
175.6,3.92,7.65,2.67,0.801,31.75
175.1,2.42,5.2,2.64,0.791,21.61
189.9,2.97,6.21,2.69,0.701,43.39
182.5,5.95,4.54,1.97,0.669,46.93
185.1,2.57,5.44,1.67,0.563,35.26
189.8,4.0,1.5,2.58,0.696,56.79
194.5,4.47,2.78,1.9,0.581,66.45
166.9,4.81,3.53,1.37,0.867,34.28
168.8,4.24,4.31,2.71,0.604,28.84
154.7,2.04,1.32,2.77,0.529,26.32
178.9,3.31,1.98,1.93,0.776,42.81
151.8,4.07,2.94,1.15,0.798,27.09
173.3,2.35,7.8,1.78,0.936,16.29
177.1,3.4,3.32,2.61,0.788,32.03
164.3,2.13,4.37,2.8,0.673,14.61
179.5,2.31,2.37,1.41,0.902,34.42
151.5,3.59,5.28,1.13,0.77,19.67
151.9,2.53,2.96,2.75,0.54,25.2
191.1,4.27,2.45,1.78,0.783,50.72
168.0,4.76,4.62,2.08,0.954,21.74
156.4,5.2,1.04,2.94,0.698,36.63
176.1,2.8,1.05,1.13,0.648,38.54
188.5,2.67,2.53,2.3,0.572,53.65
160.8,2.42,1.26,1.15,0.576,30.3
181.1,4.55,1.76,1.75,0.716,42.07
154.3,4.83,3.37,2.61,0.798,27.52
152.6,2.13,6.62,1.87,0.54,17.42
176.6,5.74,5.0,2.99,0.97,35.12
177.0,2.21,4.59,2.12,0.878,23.44
181.9,4.17,3.05,1.64,0.793,38.13
186.3,4.84,7.52,1.44,0.914,41.95
198.8,5.48,3.78,1.7,0.54,85.07
175.8,4.86,1.61,1.75,0.738,44.81
166.1,5.21,5.32,1.14,0.815,31.35
189.8,3.36,1.8,1.74,0.914,49.54
163.5,5.26,3.42,1.93,0.892,29.37
171.9,2.32,4.55,2.45,0.639,26.87
153.9,5.58,7.12,2.31,0.97,14.61
151.3,4.19,4.45,2.42,0.562,28.67
198.1,5.27,5.92,1.02,0.938,66.18
191.8,3.81,7.95,1.44,0.985,38.54
184.8,4.57,1.92,2.32,0.589,58.26
170.4,4.11,2.92,1.97,0.861,29.39
158.7,4.93,3.76,1.01,0.52,35.57
157.8,2.33,3.95,2.61,0.703,20.94
162.5,2.24,3.88,2.55,0.758,16.91
177.5,2.99,7.35,2.1,0.79,28.2
185.7,2.64,6.0,1.13,0.968,31.0
183.0,5.49,5.26,2.53,0.836,43.21
164.0,2.88,3.17,2.17,0.741,24.98
197.7,5.9,6.77,2.56,0.905,62.35
186.9,3.35,7.69,2.5,0.975,24.52
177.7,2.73,6.75,2.61,0.511,29.61
180.6,5.16,1.01,2.04,0.991,44.67
171.0,4.63,5.45,1.28,0.543,39.55
162.4,3.99,1.36,2.34,0.907,22.89
167.8,4.22,2.8,2.24,0.64,30.43
187.9,4.88,1.42,2.48,0.566,56.96
150.7,2.91,5.23,1.34,0.72,13.9
155.8,5.99,5.81,1.39,0.822,28.26
152.3,5.9,1.8,2.78,0.69,31.82
152.0,4.6,3.69,2.5,0.527,28.65
192.8,2.8,4.19,2.82,0.8,44.82
185.2,4.72,3.58,2.52,0.951,42.47
173.7,2.29,1.85,2.19,0.692,36.58
154.9,2.12,3.93,2.31,0.608,15.62
174.6,3.03,6.26,2.78,0.721,29.05
173.7,3.85,1.5,2.16,0.524,45.59
158.7,5.47,1.56,2.26,0.91,26.37
171.7,4.91,3.48,1.31,0.913,33.9
169.9,4.97,7.59,1.95,0.794,26.99
180.8,3.7,5.68,2.43,0.677,37.86
181.8,3.38,5.75,1.54,0.9,36.81
152.3,3.48,3.53,1.4,0.777,24.6
168.7,5.95,5.16,1.63,0.913,33.91
181.3,2.16,1.07,1.48,0.816,34.32
175.2,5.47,5.45,1.43,0.892,31.66
192.8,4.31,7.39,1.85,0.799,49.64
182.9,3.75,5.29,2.82,0.707,42.12
158.1,4.9,7.12,2.01,0.979,12.31
153.5,3.95,6.07,1.38,0.771,18.21
182.1,5.49,1.84,1.15,0.803,52.13
151.3,5.6,7.32,2.39,0.61,24.89
179.3,3.69,1.47,1.77,0.813,36.95
197.0,3.11,4.74,2.64,0.786,51.52
178.8,4.37,1.99,2.32,0.592,42.25
169.4,5.65,1.08,2.59,0.53,43.57
182.2,2.84,3.95,1.54,0.802,37.86
172.9,4.49,3.07,2.38,0.882,27.38
177.3,4.53,4.4,1.53,0.762,34.28
197.1,4.93,5.04,2.88,0.613,64.14
169.3,2.53,1.31,2.27,0.833,26.77
198.1,4.86,1.86,1.65,0.54,76.49
195.3,5.64,4.91,1.54,0.721,65.58
159.8,2.72,3.4,1.38,0.582,27.7
153.5,2.95,6.1,2.39,0.592,15.07
155.0,5.89,5.57,1.44,0.601,36.3
150.9,2.72,6.92,2.19,0.693,16.66
154.7,5.42,5.85,1.53,0.526,33.33
184.2,3.97,4.01,2.32,0.699,47.17
153.6,2.99,5.71,2.63,0.756,12.14
165.9,5.48,2.93,2.56,0.742,38.01
192.2,3.78,3.14,2.52,0.691,54.97
151.2,4.06,6.52,1.38,0.92,15.38
190.7,3.44,4.12,1.18,0.573,56.24
164.1,4.37,6.59,2.4,0.753,23.52
155.9,2.65,6.76,1.74,0.531,25.77
184.8,3.56,7.0,1.86,0.536,41.61
181.4,5.88,7.42,1.06,0.787,43.19
193.9,3.03,4.02,1.52,0.783,54.81
186.8,4.63,3.23,1.07,0.939,45.56
190.2,3.3,5.08,2.76,0.779,46.12
164.1,5.09,3.6,1.49,0.98,31.65
158.9,2.52,5.21,2.11,0.524,22.61
187.5,5.88,5.94,1.08,0.549,64.05
190.3,3.82,5.82,2.33,0.522,50.34
199.5,2.94,3.62,1.65,0.593,68.08
170.6,2.29,2.17,2.8,0.771,24.39
168.6,2.68,4.01,2.78,0.823,21.39
188.8,4.08,2.0,1.65,0.523,58.25
167.0,3.35,7.23,2.8,0.973,7.7
196.5,5.32,3.42,2.99,0.921,61.38
192.9,3.72,2.08,2.65,0.648,51.48
171.4,2.99,1.18,2.69,0.539,35.04
187.5,4.47,5.52,1.5,0.585,56.7
187.7,4.83,5.46,2.15,0.563,55.46
155.2,2.67,3.38,1.13,0.562,33.27
195.1,2.67,1.5,1.19,0.759,59.96
175.3,2.15,3.87,3.0,0.623,26.11
191.3,4.95,3.18,1.65,0.679,61.37
166.0,4.66,5.74,2.5,0.995,19.62
194.8,3.9,5.24,2.61,0.842,46.22
169.5,5.38,3.55,2.72,0.974,25.37
150.5,5.22,2.53,3.0,0.571,31.15
195.3,4.34,7.92,1.48,0.691,51.29
154.6,5.47,4.18,1.08,0.777,30.83
166.0,2.82,5.82,1.82,0.538,26.66
197.5,2.45,1.98,1.26,0.502,61.18
197.5,3.08,4.4,1.04,0.835,57.66
178.7,2.23,1.19,1.72,0.821,34.62
181.6,4.12,4.54,2.57,0.705,41.16
172.4,5.75,7.75,2.13,0.745,33.41
164.7,2.16,3.69,1.63,0.708,24.22
166.4,2.49,1.27,2.31,0.512,34.37
183.6,3.81,1.22,1.46,0.668,50.82
187.6,5.74,3.72,1.03,0.589,61.08
189.6,3.26,2.12,2.53,0.549,54.99
189.5,4.03,1.16,2.25,0.978,50.43
154.6,2.17,6.29,2.52,0.8,8.82
174.7,2.59,4.21,1.08,0.864,32.95
152.9,5.95,3.02,2.67,0.658,31.83
177.5,5.86,7.3,2.24,0.697,41.31
172.1,2.02,1.81,2.13,0.618,28.33
194.4,5.81,7.69,2.25,0.548,66.56
167.5,4.56,3.2,2.73,0.59,30.26
155.9,5.47,7.22,2.17,0.899,18.66
157.1,3.82,5.22,2.16,0.839,15.59
188.1,4.06,6.79,2.98,0.773,41.87
180.9,3.96,7.89,2.51,0.738,36.36
155.1,4.67,3.02,1.88,0.961,23.76
154.2,2.56,7.73,2.41,0.536,11.08
185.0,2.12,3.73,1.78,0.64,46.29
153.6,3.23,3.7,1.46,0.675,25.58
191.1,4.82,3.38,2.19,0.891,50.03
185.3,2.81,4.79,2.86,0.996,29.22
154.1,4.69,2.08,2.86,0.62,31.37
154.2,5.88,4.88,1.68,0.937,22.89
199.3,2.38,4.79,2.06,0.915,50.89
168.7,4.69,6.33,1.42,0.612,33.08
168.5,3.78,6.84,2.99,0.7,22.46
190.6,5.47,4.08,2.96,0.705,55.46
197.4,2.71,3.12,2.3,0.989,44.15
199.3,4.77,2.82,2.61,0.59,73.8
187.7,5.35,2.36,2.43,0.9,52.68
168.8,5.78,1.4,2.19,0.667,44.6
154.2,4.73,3.4,1.11,0.865,28.62
188.9,3.99,2.89,1.91,0.71,53.24
177.9,4.47,7.76,2.35,0.789,30.15
171.2,5.48,4.9,2.36,0.916,33.14
195.3,4.28,3.43,1.75,0.902,52.53
155.6,2.12,5.06,2.88,0.933,4.76
174.6,5.72,1.97,1.33,0.53,49.95
150.6,4.76,4.11,2.0,0.846,26.3
173.4,4.71,5.38,2.38,0.57,41.53
152.8,2.86,4.42,2.39,0.708,20.27
155.9,4.64,3.81,2.3,0.774,28.57
155.9,3.58,7.96,1.55,0.701,16.7
182.5,4.6,7.16,1.31,0.76,42.41
187.3,2.43,5.36,2.27,0.998,29.52
179.2,4.63,4.99,2.2,0.568,47.22
198.1,6.0,5.34,1.36,0.838,69.25
168.7,2.19,2.41,2.41,0.698,23.8
164.3,5.91,3.77,1.91,0.567,42.72
193.4,3.63,1.28,2.34,0.579,64.56
161.2,5.48,4.33,2.67,0.975,20.85
198.2,5.13,4.8,1.34,0.94,62.96
150.6,4.27,2.59,1.04,0.954,19.39
198.5,4.95,7.75,2.56,0.996,46.38
152.2,5.51,7.37,2.22,0.604,28.78
194.6,3.62,6.06,2.4,0.678,55.4
176.4,3.31,4.73,2.68,0.835,28.13
199.6,4.67,7.09,2.61,0.742,56.95
153.7,5.23,1.91,2.92,0.709,29.19
177.7,5.05,6.53,2.07,0.679,33.21
198.5,5.19,1.87,1.98,0.797,74.93
176.2,3.74,6.56,1.8,0.788,26.77
181.5,5.27,2.93,1.31,0.581,58.51
184.8,2.48,7.14,2.15,0.736,35.71
172.7,4.18,7.61,1.55,0.777,25.84
181.4,2.02,2.04,2.84,0.785,27.81
179.2,3.3,4.24,2.17,0.605,39.83
195.1,3.47,7.87,2.19,0.871,43.19
152.3,3.58,4.38,1.71,0.513,29.44
164.0,4.78,7.04,1.1,0.677,28.9
197.5,3.55,5.12,1.06,0.89,50.71
194.5,3.79,3.63,1.85,0.782,49.41
172.8,2.95,3.0,1.17,0.631,35.89
181.0,3.49,2.42,2.21,0.847,34.96
163.9,2.91,6.33,2.76,0.784,14.61
159.4,2.29,3.71,2.77,0.898,14.45
173.2,4.41,4.58,2.32,0.868,33.14
167.7,4.67,4.45,1.42,0.805,30.25
179.2,4.48,5.04,2.73,0.744,36.29
153.9,3.85,7.06,2.77,0.567,23.79
198.7,3.52,7.87,1.39,0.631,56.74
199.3,5.45,3.85,2.47,0.71,72.73
184.9,4.08,6.79,1.57,0.8,42.05
176.8,3.92,6.35,2.61,0.757,32.64
165.5,2.1,5.01,2.99,0.644,13.4
190.7,3.36,7.69,1.06,0.503,50.91
184.2,3.52,2.4,2.79,0.748,39.19
158.1,3.6,1.76,2.25,0.643,29.17
195.5,4.32,6.98,2.95,0.867,51.55
191.1,4.13,4.07,1.93,0.512,64.68
197.5,4.43,6.93,2.69,0.792,55.13
186.3,5.06,7.25,1.12,0.971,40.46
180.7,5.25,1.44,1.67,0.587,58.27
170.9,4.87,7.18,1.13,0.736,33.92
196.6,5.82,4.14,2.95,0.546,76.66
193.3,2.07,4.57,2.63,0.813,42.65
152.3,2.78,5.39,2.71,0.775,10.8
151.3,2.03,7.48,2.88,0.704,6.08
168.8,4.59,1.13,1.17,0.761,33.51
190.5,5.59,4.34,1.77,0.948,55.23
199.4,2.97,5.81,1.14,0.598,67.23
157.5,5.71,6.06,1.42,0.511,42.44
179.7,2.24,5.85,1.46,0.931,26.73
169.0,5.74,1.94,1.94,0.789,42.74
198.5,3.41,3.1,1.54,0.945,55.17
192.1,2.41,3.51,1.2,0.798,43.8
191.9,3.94,6.63,1.33,0.905,48.95
173.4,3.03,2.95,1.29,0.715,34.52
170.7,3.14,2.47,2.95,0.875,23.85
163.7,3.23,7.7,2.52,0.957,12.12
152.8,5.21,1.06,2.94,0.786,29.86
193.2,4.16,7.98,1.88,0.59,59.29
190.6,3.25,5.74,1.56,0.634,54.06
200.0,4.44,6.8,2.6,0.599,68.56
199.8,4.86,3.06,1.65,0.623,78.3
177.8,3.09,1.1,1.6,0.653,42.49
188.4,3.65,6.17,1.47,0.778,43.2
197.2,2.49,6.84,1.26,0.794,52.57
192.5,2.72,6.18,1.51,0.713,43.09
162.4,4.72,2.0,1.71,0.808,34.23
172.5,2.73,6.27,2.35,0.541,25.54
156.5,4.1,6.38,1.13,0.544,30.42
197.7,4.84,5.61,1.42,0.586,67.68
180.3,2.43,6.36,2.62,0.759,28.81
161.4,4.27,6.92,1.29,0.607,28.74
183.6,3.03,5.3,1.69,0.642,35.87
180.9,5.85,1.62,2.73,0.7,52.75
167.9,3.93,4.41,1.31,0.906,23.69
155.7,5.22,1.54,1.17,0.507,44.31
183.6,4.2,3.85,1.97,0.825,41.91
176.0,2.17,3.85,1.6,0.834,27.16
188.6,4.53,1.46,2.13,0.899,47.47
176.0,5.81,3.44,2.61,0.966,34.3
192.6,4.41,1.78,1.27,0.51,67.16
177.6,5.28,6.66,2.16,0.577,46.01
178.0,5.54,7.63,2.01,0.943,38.06
193.8,2.91,1.51,1.29,0.729,54.42
170.2,2.85,7.69,2.25,0.782,22.21
156.7,4.44,4.66,1.55,0.832,17.24
151.4,3.64,3.1,1.98,0.84,17.05
187.8,5.36,1.54,1.16,0.966,50.55
181.0,5.6,4.5,1.92,0.998,35.37
185.2,3.41,6.56,1.61,0.86,31.34
160.6,2.95,5.95,2.64,0.644,21.37
156.8,5.12,1.35,1.11,0.94,28.36
150.7,3.1,1.51,1.84,0.525,31.73
167.5,5.29,3.82,1.92,0.616,40.98
179.5,3.69,3.07,2.45,0.949,32.28
169.6,4.67,2.63,2.15,0.628,40.41
171.9,2.38,2.97,2.33,0.61,29.63
195.2,4.5,6.62,2.55,0.569,57.33
167.4,3.81,7.5,2.72,0.93,19.1
175.7,4.35,3.84,1.63,0.75,35.99
189.2,2.67,7.34,2.08,0.837,33.06
169.8,4.95,3.25,2.68,0.62,37.27
181.1,5.45,4.34,2.98,0.879,37.28
193.1,2.87,2.58,2.78,0.88,44.57
197.5,2.38,5.48,1.74,0.656,56.03
157.4,2.09,7.85,1.39,0.705,15.36
196.3,4.57,5.22,1.98,0.605,62.63
174.6,4.43,3.5,2.48,0.988,26.89
